292,292,"Asahi Group Holdings, Ltd.",TKS:2502,17.2,Low ESG Risk
293,293,Asahi Intecc Co Ltd,TKS:7747,20.2,Medium ESG Risk
294,294,Asahi Kasei Corp.,TKS:3407,25.3,Medium ESG Risk
295,295,Ascendas Real Estate Investment Trust,SES:A17U,11.8,Low ESG Risk
296,296,Ascential PLC,LON:ASCL,15.2,Low ESG Risk
297,297,Ascom Holding AG,SWX:ASCN,23.1,Medium ESG Risk
298,298,"ASE Technology Holding Co., Ltd.",TAI:3711,23.8,Medium ESG Risk
299,299,Aselsan Elektronik Sanayi ve Ticaret AS,IST:ASELS,23.8,Medium ESG Risk
300,300,Asetek A/S,OSL:ASTK,21.7,Medium ESG Risk
301,301,Ashland Global Holdings Inc,NYS:ASH,38.6,High ESG Risk
302,302,Ashmore Group PLC,LON:ASHM,19.9,Low ESG Risk
303,303,Ashok Leyland Ltd.,BOM:500477,38.0,High ESG Risk
304,304,Ashtead Group PLC,LON:AHT,18.4,Low ESG Risk
305,305,Asia Cement Corp.,TAI:1102,31.6,High ESG Risk
306,306,Asian Development Bank,-,8.8,Negligible ESG Risk
307,307,Asian Paints Ltd.,BOM:500820,30.4,High ESG Risk
308,308,ASICS Corp.,TKS:7936,17.0,Low ESG Risk
309,309,ASM International NV,AMS:ASM,15.4,Low ESG Risk
310,310,ASM Pacific Technology Ltd.,HKG:522,20.8,Medium ESG Risk
311,311,ASML Holding N.V.,AMS:ASML,12.8,Low ESG Risk
312,312,Aspen Pharmacare Holdings Ltd.,JSE:APN,30.7,High ESG Risk
313,313,Aspen Technology Inc,NAS:AZPN,19.5,Low ESG Risk
314,314,ASR Nederland N.V.,AMS:ASRNL,14.7,Low ESG Risk
315,315,Assa Abloy AB,OME:ASSA.B,16.8,Low ESG Risk
316,316,Asset World Corp. Pcl,BKK:AWC,24.2,Medium ESG Risk
317,317,Assicurazioni Generali S.p.A.,MIL:G,18.6,Low ESG Risk
318,318,Associated Banc-Corp,NYS:ASB,27.5,Medium ESG Risk
319,319,Associated British Foods PLC,LON:ABF,30.0,Medium ESG Risk
320,320,Assura PLC,LON:AGR,14.4,Low ESG Risk
